A00	Cholera
S68.021	Partial traumatic metacarpophalangeal amputation of right thumb
S68.022	Partial traumatic metacarpophalangeal amputation of left thumb
S68.029	Partial traumatic metacarpophalangeal amputation of unspecified thumb
S68.1	Traumatic metacarpophalangeal amputation of other and unspecified finger
S68.11	Complete traumatic metacarpophalangeal amputation of other and unspecified finger
S68.110	Complete traumatic metacarpophalangeal amputation of right index finger
S68.111	Complete traumatic metacarpophalangeal amputation of left index finger
S68.112	Complete traumatic metacarpophalangeal amputation of right middle finger
S68.113	Complete traumatic metacarpophalangeal amputation of left middle finger
S68.114	Complete traumatic metacarpophalangeal amputation of right ring finger
S68.115	Complete traumatic metacarpophalangeal amputation of left ring finger
S68.116	Complete traumatic metacarpophalangeal amputation of right little finger
S68.117	Complete traumatic metacarpophalangeal amputation of left little finger
S68.118	Complete traumatic metacarpophalangeal amputation of other finger
S68.119	Complete traumatic metacarpophalangeal amputation of unspecified finger
S68.12	Partial traumatic metacarpophalangeal amputation of other and unspecified finger
S68.120	Partial traumatic metacarpophalangeal amputation of right index finger
S68.121	Partial traumatic metacarpophalangeal amputation of left index finger
S68.122	Partial traumatic metacarpophalangeal amputation of right middle finger
S68.123	Partial traumatic metacarpophalangeal amputation of left middle finger
S68.124	Partial traumatic metacarpophalangeal amputation of right ring finger
S68.125	Partial traumatic metacarpophalangeal amputation of left ring finger
S68.126	Partial traumatic metacarpophalangeal amputation of right little finger
S68.127	Partial traumatic metacarpophalangeal amputation of left little finger
S68.128	Partial traumatic metacarpophalangeal amputation of other finger
S68.129	Partial traumatic metacarpophalangeal amputation of unspecified finger
S68.4	Traumatic amputation of hand at wrist level
S68.41	Complete traumatic amputation of hand at wrist level
S68.411	Complete traumatic amputation of right hand at wrist level
S68.412	Complete traumatic amputation of left hand at wrist level
S68.419	Complete traumatic amputation of unspecified hand at wrist level
S68.42	Partial traumatic amputation of hand at wrist level
S68.421	Partial traumatic amputation of right hand at wrist level
S68.422	Partial traumatic amputation of left hand at wrist level
S68.429	Partial traumatic amputation of unspecified hand at wrist level
S68.5	Traumatic transphalangeal amputation of thumb
S68.51	Complete traumatic transphalangeal amputation of thumb
S68.511	Complete traumatic transphalangeal amputation of right thumb
S68.512	Complete traumatic transphalangeal amputation of left thumb
S68.519	Complete traumatic transphalangeal amputation of unspecified thumb
S68.52	Partial traumatic transphalangeal amputation of thumb
S68.521	Partial traumatic transphalangeal amputation of right thumb
S68.522	Partial traumatic transphalangeal amputation of left thumb
S68.529	Partial traumatic transphalangeal amputation of unspecified thumb
S68.6	Traumatic transphalangeal amputation of other and unspecified finger
S68.61	Complete traumatic transphalangeal amputation of other and unspecified finger(s)
S68.610	Complete traumatic transphalangeal amputation of right index finger
S68.611	Complete traumatic transphalangeal amputation of left index finger
S68.612	Complete traumatic transphalangeal amputation of right middle finger
S68.613	Complete traumatic transphalangeal amputation of left middle finger
S68.614	Complete traumatic transphalangeal amputation of right ring finger
S68.615	Complete traumatic transphalangeal amputation of left ring finger
S68.616	Complete traumatic transphalangeal amputation of right little finger
S68.617	Complete traumatic transphalangeal amputation of left little finger
S68.618	Complete traumatic transphalangeal amputation of other finger
S68.619	Complete traumatic transphalangeal amputation of unspecified finger
S68.62	Partial traumatic transphalangeal amputation of other and unspecified finger
S68.620	Partial traumatic transphalangeal amputation of right index finger
S68.621	Partial traumatic transphalangeal amputation of left index finger
S68.622	Partial traumatic transphalangeal amputation of right middle finger
S68.623	Partial traumatic transphalangeal amputation of left middle finger
S68.624	Partial traumatic transphalangeal amputation of right ring finger
S68.625	Partial traumatic transphalangeal amputation of left ring finger
S68.626	Partial traumatic transphalangeal amputation of right little finger
S68.627	Partial traumatic transphalangeal amputation of left little finger
S68.628	Partial traumatic transphalangeal amputation of other finger
S68.629	Partial traumatic transphalangeal amputation of unspecified finger
S68.7	Traumatic transmetacarpal amputation of hand
S68.71	Complete traumatic transmetacarpal amputation of hand
S68.711	Complete traumatic transmetacarpal amputation of right hand
S68.712	Complete traumatic transmetacarpal amputation of left hand
S68.719	Complete traumatic transmetacarpal amputation of unspecified hand
S68.72	Partial traumatic transmetacarpal amputation of hand
S68.721	Partial traumatic transmetacarpal amputation of right hand
S68.722	Partial traumatic transmetacarpal amputation of left hand
S68.729	Partial traumatic transmetacarpal amputation of unspecified hand
S69	Other and unspecified injuries of wrist, hand and finger(s)
S69.8	Other specified injuries of wrist, hand and finger(s)
S69.80	Other specified injuries of unspecified wrist, hand and finger(s)
S69.81	Other specified injuries of right wrist, hand and finger(s)
S69.82	Other specified injuries of left wrist, hand and finger(s)
S69.9	Unspecified injury of wrist, hand and finger(s)
S69.90	Unspecified injury of unspecified wrist, hand and finger(s)
S69.91	Unspecified injury of right wrist, hand and finger(s)
S69.92	Unspecified injury of left wrist, hand and finger(s)
S70	Superficial injury of hip and thigh
S70.0	Contusion of hip
S70.00	Contusion of unspecified hip
S70.01	Contusion of right hip
S70.02	Contusion of left hip
S70.1	Contusion of thigh
S70.10	Contusion of unspecified thigh
S70.11	Contusion of right thigh
S70.12	Contusion of left thigh
S70.2	Other superficial injuries of hip
S70.21	Abrasion of hip
S70.211	Abrasion, right hip
S70.212	Abrasion, left hip
S70.219	Abrasion, unspecified hip
S70.22	Blister (nonthermal) of hip
S70.221	Blister (nonthermal), right hip
S70.222	Blister (nonthermal), left hip
S70.229	Blister (nonthermal), unspecified hip
S70.24	External constriction of hip
S70.241	External constriction, right hip
S70.242	External constriction, left hip
S70.249	External constriction, unspecified hip
S70.25	Superficial foreign body of hip
S70.251	Superficial foreign body, right hip
S70.252	Superficial foreign body, left hip
S70.259	Superficial foreign body, unspecified hip
S70.26	Insect bite (nonvenomous) of hip
S70.261	Insect bite (nonvenomous), right hip
S70.262	Insect bite (nonvenomous), left hip
S70.269	Insect bite (nonvenomous), unspecified hip
S70.27	Other superficial bite of hip
S70.271	Other superficial bite of hip, right hip
S70.272	Other superficial bite of hip, left hip
S70.279	Other superficial bite of hip, unspecified hip
S70.3	Other superficial injuries of thigh
S70.31	Abrasion of thigh
S70.311	Abrasion, right thigh
S70.312	Abrasion, left thigh
S70.319	Abrasion, unspecified thigh
S70.32	Blister (nonthermal) of thigh
S70.321	Blister (nonthermal), right thigh
S70.322	Blister (nonthermal), left thigh
S70.329	Blister (nonthermal), unspecified thigh
S70.34	External constriction of thigh
S70.341	External constriction, right thigh
S70.342	External constriction, left thigh
S70.349	External constriction, unspecified thigh
S70.35	Superficial foreign body of thigh
S70.351	Superficial foreign body, right thigh
S70.352	Superficial foreign body, left thigh
S70.359	Superficial foreign body, unspecified thigh
S70.36	Insect bite (nonvenomous) of thigh
S70.361	Insect bite (nonvenomous), right thigh
S70.362	Insect bite (nonvenomous), left thigh
S70.369	Insect bite (nonvenomous), unspecified thigh
S70.37	Other superficial bite of thigh
S70.371	Other superficial bite of right thigh
S70.372	Other superficial bite of left thigh
S70.379	Other superficial bite of unspecified thigh
S70.9	Unspecified superficial injury of hip and thigh
S70.91	Unspecified superficial injury of hip
S70.911	Unspecified superficial injury of right hip
S70.912	Unspecified superficial injury of left hip
S70.919	Unspecified superficial injury of unspecified hip
S70.92	Unspecified superficial injury of thigh
S70.921	Unspecified superficial injury of right thigh
S70.922	Unspecified superficial injury of left thigh
S70.929	Unspecified superficial injury of unspecified thigh
S71	Open wound of hip and thigh
S71.0	Open wound of hip
S71.00	Unspecified open wound of hip
S71.001	Unspecified open wound, right hip
S71.002	Unspecified open wound, left hip
S71.009	Unspecified open wound, unspecified hip
S71.01	Laceration without foreign body of hip
S71.011	Laceration without foreign body, right hip
S71.012	Laceration without foreign body, left hip
S71.019	Laceration without foreign body, unspecified hip
S71.02	Laceration with foreign body of hip
S71.021	Laceration with foreign body, right hip
S71.022	Laceration with foreign body, left hip
S71.029	Laceration with foreign body, unspecified hip
S71.03	Puncture wound without foreign body of hip
S71.031	Puncture wound without foreign body, right hip
S71.032	Puncture wound without foreign body, left hip
S71.039	Puncture wound without foreign body, unspecified hip
S71.04	Puncture wound with foreign body of hip
S71.041	Puncture wound with foreign body, right hip
S71.042	Puncture wound with foreign body, left hip
S71.049	Puncture wound with foreign body, unspecified hip
S71.05	Open bite of hip
S71.051	Open bite, right hip
S71.052	Open bite, left hip
S71.059	Open bite, unspecified hip
S71.1	Open wound of thigh
S71.10	Unspecified open wound of thigh
S71.101	Unspecified open wound, right thigh
S71.102	Unspecified open wound, left thigh
S71.109	Unspecified open wound, unspecified thigh
S71.11	Laceration without foreign body of thigh
S71.111	Laceration without foreign body, right thigh
S71.112	Laceration without foreign body, left thigh
S71.119	Laceration without foreign body, unspecified thigh
S71.12	Laceration with foreign body of thigh
S71.121	Laceration with foreign body, right thigh
S71.122	Laceration with foreign body, left thigh
S71.129	Laceration with foreign body, unspecified thigh
S71.13	Puncture wound without foreign body of thigh
S71.131	Puncture wound without foreign body, right thigh
S71.132	Puncture wound without foreign body, left thigh
S71.139	Puncture wound without foreign body, unspecified thigh
S71.14	Puncture wound with foreign body of thigh
S71.141	Puncture wound with foreign body, right thigh
S71.142	Puncture wound with foreign body, left thigh
S71.149	Puncture wound with foreign body, unspecified thigh
S71.15	Open bite of thigh
S71.151	Open bite, right thigh
S71.152	Open bite, left thigh
S71.159	Open bite, unspecified thigh
S72	Fracture of femur
S72.0	Fracture of head and neck of femur
S72.00	Fracture of unspecified part of neck of femur
S72.001	Fracture of unspecified part of neck of right femur
S72.002	Fracture of unspecified part of neck of left femur
S72.009	Fracture of unspecified part of neck of unspecified femur
S72.01	Unspecified intracapsular fracture of femur
S72.011	Unspecified intracapsular fracture of right femur
S72.012	Unspecified intracapsular fracture of left femur
S72.019	Unspecified intracapsular fracture of unspecified femur
S72.02	Fracture of epiphysis (separation) (upper) of femur
S72.021	Displaced fracture of epiphysis (separation) (upper) of right femur
S72.022	Displaced fracture of epiphysis (separation) (upper) of left femur
S72.023	Displaced fracture of epiphysis (separation) (upper) of unspecified femur
S72.024	Nondisplaced fracture of epiphysis (separation) (upper) of right femur
S72.025	Nondisplaced fracture of epiphysis (separation) (upper) of left femur
S72.026	Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur
S72.03	Midcervical fracture of femur
S72.031	Displaced midcervical fracture of right femur
S72.032	Displaced midcervical fracture of left femur
S72.033	Displaced midcervical fracture of unspecified femur
S72.034	Nondisplaced midcervical fracture of right femur
S72.035	Nondisplaced midcervical fracture of left femur
S72.036	Nondisplaced midcervical fracture of unspecified femur
S72.04	Fracture of base of neck of femur
S72.041	Displaced fracture of base of neck of right femur
S72.042	Displaced fracture of base of neck of left femur
S72.043	Displaced fracture of base of neck of unspecified femur
S72.044	Nondisplaced fracture of base of neck of right femur
S72.045	Nondisplaced fracture of base of neck of left femur
S72.046	Nondisplaced fracture of base of neck of unspecified femur
S72.05	Unspecified fracture of head of femur
S72.051	Unspecified fracture of head of right femur
S72.052	Unspecified fracture of head of left femur
S72.059	Unspecified fracture of head of unspecified femur
S72.06	Articular fracture of head of femur
S72.061	Displaced articular fracture of head of right femur
S72.062	Displaced articular fracture of head of left femur
S72.063	Displaced articular fracture of head of unspecified femur
S72.064	Nondisplaced articular fracture of head of right femur
S72.065	Nondisplaced articular fracture of head of left femur
S72.066	Nondisplaced articular fracture of head of unspecified femur
S72.09	Other fracture of head and neck of femur
S72.091	Other fracture of head and neck of right femur
S72.092	Other fracture of head and neck of left femur
S72.099	Other fracture of head and neck of unspecified femur
S72.1	Pertrochanteric fracture
S72.10	Unspecified trochanteric fracture of femur
S72.101	Unspecified trochanteric fracture of right femur
S72.102	Unspecified trochanteric fracture of left femur
S72.109	Unspecified trochanteric fracture of unspecified femur
S72.11	Fracture of greater trochanter of femur
S72.111	Displaced fracture of greater trochanter of right femur
S72.112	Displaced fracture of greater trochanter of left femur
S72.113	Displaced fracture of greater trochanter of unspecified femur
S72.114	Nondisplaced fracture of greater trochanter of right femur
S72.115	Nondisplaced fracture of greater trochanter of left femur
S72.116	Nondisplaced fracture of greater trochanter of unspecified femur
S72.12	Fracture of lesser trochanter of femur
S72.121	Displaced fracture of lesser trochanter of right femur
S72.122	Displaced fracture of lesser trochanter of left femur
S72.123	Displaced fracture of lesser trochanter of unspecified femur
S72.124	Nondisplaced fracture of lesser trochanter of right femur
S72.125	Nondisplaced fracture of lesser trochanter of left femur
S72.126	Nondisplaced fracture of lesser trochanter of unspecified femur
S72.13	Apophyseal fracture of femur
S72.131	Displaced apophyseal fracture of right femur
S72.132	Displaced apophyseal fracture of left femur
S72.133	Displaced apophyseal fracture of unspecified femur
S72.134	Nondisplaced apophyseal fracture of right femur
S72.135	Nondisplaced apophyseal fracture of left femur
S72.136	Nondisplaced apophyseal fracture of unspecified femur
S72.14	Intertrochanteric fracture of femur
S72.141	Displaced intertrochanteric fracture of right femur
S72.142	Displaced intertrochanteric fracture of left femur
S72.143	Displaced intertrochanteric fracture of unspecified femur
S72.144	Nondisplaced intertrochanteric fracture of right femur
S72.145	Nondisplaced intertrochanteric fracture of left femur
S72.146	Nondisplaced intertrochanteric fracture of unspecified femur
S72.2	Subtrochanteric fracture of femur
S72.21	Displaced subtrochanteric fracture of right femur
S72.22	Displaced subtrochanteric fracture of left femur
S72.23	Displaced subtrochanteric fracture of unspecified femur
S72.24	Nondisplaced subtrochanteric fracture of right femur
S72.25	Nondisplaced subtrochanteric fracture of left femur
S72.26	Nondisplaced subtrochanteric fracture of unspecified femur
S72.3	Fracture of shaft of femur
S72.30	Unspecified fracture of shaft of femur
S72.301	Unspecified fracture of shaft of right femur
S72.302	Unspecified fracture of shaft of left femur
S72.309	Unspecified fracture of shaft of unspecified femur
S72.32	Transverse fracture of shaft of femur
S72.321	Displaced transverse fracture of shaft of right femur
S72.322	Displaced transverse fracture of shaft of left femur
S72.323	Displaced transverse fracture of shaft of unspecified femur
S72.324	Nondisplaced transverse fracture of shaft of right femur
S72.325	Nondisplaced transverse fracture of shaft of left femur
S72.326	Nondisplaced transverse fracture of shaft of unspecified femur
S72.33	Oblique fracture of shaft of femur
S72.331	Displaced oblique fracture of shaft of right femur
S72.332	Displaced oblique fracture of shaft of left femur
S72.333	Displaced oblique fracture of shaft of unspecified femur
S72.334	Nondisplaced oblique fracture of shaft of right femur
S72.335	Nondisplaced oblique fracture of shaft of left femur
S72.336	Nondisplaced oblique fracture of shaft of unspecified femur
S72.34	Spiral fracture of shaft of femur
S72.341	Displaced spiral fracture of shaft of right femur
S72.342	Displaced spiral fracture of shaft of left femur
S72.343	Displaced spiral fracture of shaft of unspecified femur
S72.344	Nondisplaced spiral fracture of shaft of right femur
S72.345	Nondisplaced spiral fracture of shaft of left femur
S72.346	Nondisplaced spiral fracture of shaft of unspecified femur
S72.35	Comminuted fracture of shaft of femur
S72.351	Displaced comminuted fracture of shaft of right femur
S72.352	Displaced comminuted fracture of shaft of left femur
S72.353	Displaced comminuted fracture of shaft of unspecified femur
S72.354	Nondisplaced comminuted fracture of shaft of right femur
S72.355	Nondisplaced comminuted fracture of shaft of left femur
S72.356	Nondisplaced comminuted fracture of shaft of unspecified femur
S72.36	Segmental fracture of shaft of femur
S72.361	Displaced segmental fracture of shaft of right femur
S72.362	Displaced segmental fracture of shaft of left femur
S72.363	Displaced segmental fracture of shaft of unspecified femur
S72.364	Nondisplaced segmental fracture of shaft of right femur
S72.365	Nondisplaced segmental fracture of shaft of left femur
S72.366	Nondisplaced segmental fracture of shaft of unspecified femur
S72.39	Other fracture of shaft of femur
S72.391	Other fracture of shaft of right femur
S72.392	Other fracture of shaft of left femur
S72.399	Other fracture of shaft of unspecified femur
S72.4	Fracture of lower end of femur
S72.40	Unspecified fracture of lower end of femur
S72.401	Unspecified fracture of lower end of right femur
S72.402	Unspecified fracture of lower end of left femur
S72.409	Unspecified fracture of lower end of unspecified femur
S72.41	Unspecified condyle fracture of lower end of femur
S72.411	Displaced unspecified condyle fracture of lower end of right femur
S72.412	Displaced unspecified condyle fracture of lower end of left femur
S72.413	Displaced unspecified condyle fracture of lower end of unspecified femur
S72.414	Nondisplaced unspecified condyle fracture of lower end of right femur
S72.415	Nondisplaced unspecified condyle fracture of lower end of left femur
S72.416	Nondisplaced unspecified condyle fracture of lower end of unspecified femur
S72.42	Fracture of lateral condyle of femur
S72.421	Displaced fracture of lateral condyle of right femur
S72.422	Displaced fracture of lateral condyle of left femur
S72.423	Displaced fracture of lateral condyle of unspecified femur
S72.424	Nondisplaced fracture of lateral condyle of right femur
S72.425	Nondisplaced fracture of lateral condyle of left femur
S72.426	Nondisplaced fracture of lateral condyle of unspecified femur
S72.43	Fracture of medial condyle of femur
S72.431	Displaced fracture of medial condyle of right femur
S72.432	Displaced fracture of medial condyle of left femur
S72.433	Displaced fracture of medial condyle of unspecified femur
S72.434	Nondisplaced fracture of medial condyle of right femur
S72.435	Nondisplaced fracture of medial condyle of left femur
S72.436	Nondisplaced fracture of medial condyle of unspecified femur
S72.44	Fracture of lower epiphysis (separation) of femur
S72.441	Displaced fracture of lower epiphysis (separation) of right femur
S72.442	Displaced fracture of lower epiphysis (separation) of left femur
S72.443	Displaced fracture of lower epiphysis (separation) of unspecified femur
S72.444	Nondisplaced fracture of lower epiphysis (separation) of right femur
S72.445	Nondisplaced fracture of lower epiphysis (separation) of left femur
S72.446	Nondisplaced fracture of lower epiphysis (separation) of unspecified femur
S72.45	Supracondylar fracture without intracondylar extension of lower end of femur
S72.451	Displaced supracondylar fracture without intracondylar extension of lower end of right femur
S72.452	Displaced supracondylar fracture without intracondylar extension of lower end of left femur
S72.453	Displaced supracondylar fracture without intracondylar extension of lower end of unspecified femur
S72.454	Nondisplaced supracondylar fracture without intracondylar extension of lower end of right femur
S72.455	Nondisplaced supracondylar fracture without intracondylar extension of lower end of left femur
S72.456	Nondisplaced supracondylar fracture without intracondylar extension of lower end of unspecified femur
S72.46	Supracondylar fracture with intracondylar extension of lower end of femur
S72.461	Displaced supracondylar fracture with intracondylar extension of lower end of right femur
S72.462	Displaced supracondylar fracture with intracondylar extension of lower end of left femur
S72.463	Displaced supracondylar fracture with intracondylar extension of lower end of unspecified femur
S72.464	Nondisplaced supracondylar fracture with intracondylar extension of lower end of right femur
S72.465	Nondisplaced supracondylar fracture with intracondylar extension of lower end of left femur
S72.466	Nondisplaced supracondylar fracture with intracondylar extension of lower end of unspecified femur
S72.47	Torus fracture of lower end of femur
S72.471	Torus fracture of lower end of right femur
S72.472	Torus fracture of lower end of left femur
S72.479	Torus fracture of lower end of unspecified femur
S72.49	Other fracture of lower end of femur
S72.491	Other fracture of lower end of right femur
S72.492	Other fracture of lower end of left femur
S72.499	Other fracture of lower end of unspecified femur
S72.8	Other fracture of femur
S72.8X	Other fracture of femur
S72.8X1	Other fracture of right femur
S72.8X2	Other fracture of left femur
S72.8X9	Other fracture of unspecified femur
S72.9	Unspecified fracture of femur
S72.90	Unspecified fracture of unspecified femur
S72.91	Unspecified fracture of right femur
S72.92	Unspecified fracture of left femur
S73	Dislocation and sprain of joint and ligaments of hip
S73.0	Subluxation and dislocation of hip
S73.00	Unspecified subluxation and dislocation of hip
S73.001	Unspecified subluxation of right hip
S73.002	Unspecified subluxation of left hip
S73.003	Unspecified subluxation of unspecified hip
S73.004	Unspecified dislocation of right hip
S73.005	Unspecified dislocation of left hip
S73.006	Unspecified dislocation of unspecified hip
S73.01	Posterior subluxation and dislocation of hip
S73.011	Posterior subluxation of right hip
S73.012	Posterior subluxation of left hip
S73.013	Posterior subluxation of unspecified hip
S73.014	Posterior dislocation of right hip
S73.015	Posterior dislocation of left hip
S73.016	Posterior dislocation of unspecified hip
S73.02	Obturator subluxation and dislocation of hip
S73.021	Obturator subluxation of right hip
S73.022	Obturator subluxation of left hip
S73.023	Obturator subluxation of unspecified hip
S73.024	Obturator dislocation of right hip
S73.025	Obturator dislocation of left hip
S73.026	Obturator dislocation of unspecified hip
S73.03	Other anterior dislocation of hip
S73.031	Other anterior subluxation of right hip
S73.032	Other anterior subluxation of left hip
S73.033	Other anterior subluxation of unspecified hip
S73.034	Other anterior dislocation of right hip
S73.035	Other anterior dislocation of left hip
S73.036	Other anterior dislocation of unspecified hip
S73.04	Central dislocation of hip
S73.041	Central subluxation of right hip
S73.042	Central subluxation of left hip
S73.043	Central subluxation of unspecified hip
S73.044	Central dislocation of right hip
S73.045	Central dislocation of left hip
S73.046	Central dislocation of unspecified hip
S73.1	Sprain of hip
S73.10	Unspecified sprain of hip
S73.101	Unspecified sprain of right hip
S73.102	Unspecified sprain of left hip
S73.109	Unspecified sprain of unspecified hip
S73.11	Iliofemoral ligament sprain of hip
S73.111	Iliofemoral ligament sprain of right hip
S73.112	Iliofemoral ligament sprain of left hip
S73.119	Iliofemoral ligament sprain of unspecified hip
S73.12	Ischiocapsular (ligament) sprain of hip
S73.121	Ischiocapsular ligament sprain of right hip
S73.122	Ischiocapsular ligament sprain of left hip
S73.129	Ischiocapsular ligament sprain of unspecified hip
S73.19	Other sprain of hip
S73.191	Other sprain of right hip
S73.192	Other sprain of left hip
S73.199	Other sprain of unspecified hip
S74	Injury of nerves at hip and thigh level
S74.0	Injury of sciatic nerve at hip and thigh level
S74.00	Injury of sciatic nerve at hip and thigh level, unspecified leg
S74.01	Injury of sciatic nerve at hip and thigh level, right leg
S74.02	Injury of sciatic nerve at hip and thigh level, left leg
S74.1	Injury of femoral nerve at hip and thigh level
S74.10	Injury of femoral nerve at hip and thigh level, unspecified leg
S74.11	Injury of femoral nerve at hip and thigh level, right leg
S74.12	Injury of femoral nerve at hip and thigh level, left leg
S74.2	Injury of cutaneous sensory nerve at hip and thigh level
S74.20	Injury of cutaneous sensory nerve at hip and thigh level, unspecified leg
S74.21	Injury of cutaneous sensory nerve at hip and high level, right leg
S74.22	Injury of cutaneous sensory nerve at hip and thigh level, left leg
S74.8	Injury of other nerves at hip and thigh level
S74.8X	Injury of other nerves at hip and thigh level
S74.8X1	Injury of other nerves at hip and thigh level, right leg
S74.8X2	Injury of other nerves at hip and thigh level, left leg
S74.8X9	Injury of other nerves at hip and thigh level, unspecified leg
S74.9	Injury of unspecified nerve at hip and thigh level
S74.90	Injury of unspecified nerve at hip and thigh level, unspecified leg
S74.91	Injury of unspecified nerve at hip and thigh level, right leg
S74.92	Injury of unspecified nerve at hip and thigh level, left leg
S75	Injury of blood vessels at hip and thigh level
S75.0	Injury of femoral artery
S75.00	Unspecified injury of femoral artery
S75.001	Unspecified injury of femoral artery, right leg
S75.002	Unspecified injury of femoral artery, left leg
S75.009	Unspecified injury of femoral artery, unspecified leg
S75.01	Minor laceration of femoral artery
S75.011	Minor laceration of femoral artery, right leg
S75.012	Minor laceration of femoral artery, left leg
S75.019	Minor laceration of femoral artery, unspecified leg
S75.02	Major laceration of femoral artery
S75.021	Major laceration of femoral artery, right leg
S75.022	Major laceration of femoral artery, left leg
S75.029	Major laceration of femoral artery, unspecified leg
S75.09	Other specified injury of femoral artery
S75.091	Other specified injury of femoral artery, right leg
S75.092	Other specified injury of femoral artery, left leg
S75.099	Other specified injury of femoral artery, unspecified leg
S75.1	Injury of femoral vein at hip and thigh level
S75.10	Unspecified injury of femoral vein at hip and thigh level
S75.101	Unspecified injury of femoral vein at hip and thigh level, right leg
S75.102	Unspecified injury of femoral vein at hip and thigh level, left leg
S75.109	Unspecified injury of femoral vein at hip and thigh level, unspecified leg
S75.11	Minor laceration of femoral vein at hip and thigh level
S75.111	Minor laceration of femoral vein at hip and thigh level, right leg
S75.112	Minor laceration of femoral vein at hip and thigh level, left leg
S75.119	Minor laceration of femoral vein at hip and thigh level, unspecified leg
S75.12	Major laceration of femoral vein at hip and thigh level
S75.121	Major laceration of femoral vein at hip and thigh level, right leg
S75.122	Major laceration of femoral vein at hip and thigh level, left leg
S75.129	Major laceration of femoral vein at hip and thigh level, unspecified leg
S75.19	Other specified injury of femoral vein at hip and thigh level
S75.191	Other specified injury of femoral vein at hip and thigh level, right leg
S75.192	Other specified injury of femoral vein at hip and thigh level, left leg
S75.199	Other specified injury of femoral vein at hip and thigh level, unspecified leg
S75.2	Injury of greater saphenous vein at hip and thigh level
S75.20	Unspecified injury of greater saphenous vein at hip and thigh level
S75.201	Unspecified injury of greater saphenous vein at hip and thigh level, right leg
S75.202	Unspecified injury of greater saphenous vein at hip and thigh level, left leg
S75.209	Unspecified injury of greater saphenous vein at hip and thigh level, unspecified leg
S75.21	Minor laceration of greater saphenous vein at hip and thigh level
S75.211	Minor laceration of greater saphenous vein at hip and thigh level, right leg
S75.212	Minor laceration of greater saphenous vein at hip and thigh level, left leg
S75.219	Minor laceration of greater saphenous vein at hip and thigh level, unspecified leg
S75.22	Major laceration of greater saphenous vein at hip and thigh level
S75.221	Major laceration of greater saphenous vein at hip and thigh level, right leg
S75.222	Major laceration of greater saphenous vein at hip and thigh level, left leg
S75.229	Major laceration of greater saphenous vein at hip and thigh level, unspecified leg
S75.29	Other specified injury of greater saphenous vein at hip and thigh level
S75.291	Other specified injury of greater saphenous vein at hip and thigh level, right leg
S75.292	Other specified injury of greater saphenous vein at hip and thigh level, left leg
S75.299	Other specified injury of greater saphenous vein at hip and thigh level, unspecified leg
S75.8	Injury of other blood vessels at hip and thigh level
S75.80	Unspecified injury of other blood vessels at hip and thigh level
S75.801	Unspecified injury of other blood vessels at hip and thigh level, right leg
S75.802	Unspecified injury of other blood vessels at hip and thigh level, left leg
S75.809	Unspecified injury of other blood vessels at hip and thigh level, unspecified leg
S75.81	Laceration of other blood vessels at hip and thigh level
S75.811	Laceration of other blood vessels at hip and thigh level, right leg
S75.812	Laceration of other blood vessels at hip and thigh level, left leg
S75.819	Laceration of other blood vessels at hip and thigh level, unspecified leg
S75.89	Other specified injury of other blood vessels at hip and thigh level
S75.891	Other specified injury of other blood vessels at hip and thigh level, right leg
S75.892	Other specified injury of other blood vessels at hip and thigh level, left leg
S75.899	Other specified injury of other blood vessels at hip and thigh level, unspecified leg
S75.9	Injury of unspecified blood vessel at hip and thigh level
S75.90	Unspecified injury of unspecified blood vessel at hip and thigh level
S75.901	Unspecified injury of unspecified blood vessel at hip and thigh level, right leg
S75.902	Unspecified injury of unspecified blood vessel at hip and thigh level, left leg
S75.909	Unspecified injury of unspecified blood vessel at hip and thigh level, unspecified leg
S75.91	Laceration of unspecified blood vessel at hip and thigh level
S75.911	Laceration of unspecified blood vessel at hip and thigh level, right leg
S75.912	Laceration of unspecified blood vessel at hip and thigh level, left leg
S75.919	Laceration of unspecified blood vessel at hip and thigh level, unspecified leg
S75.99	Other specified injury of unspecified blood vessel at hip and thigh level
S75.991	Other specified injury of unspecified blood vessel at hip and thigh level, right leg
S75.992	Other specified injury of unspecified blood vessel at hip and thigh level, left leg
S75.999	Other specified injury of unspecified blood vessel at hip and thigh level, unspecified leg
S76	Injury of muscle, fascia and tendon at hip and thigh level
S76.0	Injury of muscle, fascia and tendon of hip
S76.00	Unspecified injury of muscle, fascia and tendon of hip
S76.001	Unspecified injury of muscle, fascia and tendon of right hip
S76.002	Unspecified injury of muscle, fascia and tendon of left hip
S76.009	Unspecified injury of muscle, fascia and tendon of unspecified hip
S76.01	Strain of muscle, fascia and tendon of hip
S76.011	Strain of muscle, fascia and tendon of right hip
S76.012	Strain of muscle, fascia and tendon of left hip
S76.019	Strain of muscle, fascia and tendon of unspecified hip
S76.02	Laceration of muscle, fascia and tendon of hip
S76.021	Laceration of muscle, fascia and tendon of right hip
S76.022	Laceration of muscle, fascia and tendon of left hip
S76.029	Laceration of muscle, fascia and tendon of unspecified hip
S76.09	Other specified injury of muscle, fascia and tendon of hip
S76.091	Other specified injury of muscle, fascia and tendon of right hip
S76.092	Other specified injury of muscle, fascia and tendon of left hip
S76.099	Other specified injury of muscle, fascia and tendon of unspecified hip
S76.1	Injury of quadriceps muscle, fascia and tendon
